POLYGON_ID	STATE_CODE	STATE_NAME	GEOMETRY
10	MT	Montana	POLYGON ((-116.0635313044804 48.9999503730995, -114.7293253032378 48.99997037309952, -114.0634633026177 48.99997737309953, -112.1883873008714 48.99999237309955, -110.7507972995325 49.00000537309956, -109.5007372983683 49.00000537309956, -108.2506752972041 49.00000937309956, -107.1881212962145 49.00001737309957, -106.1255792952249 49.00002137309957, -105.0630342942354 49.00002137309957, -104.062991293304 49.00002637309957, -104.0523172932941 48.6458243727697, -104.0484252932904 48.0000813721683, -104.0459262932881 47.33383237154781, -104.0474372932895 46.64294737090437, -104.0489062932909 45.9429933702525, -104.0430722932855 44.99780536937222, -104.0598422933011 44.99733636937178, -105.0850032942558 44.99981736937409, -106.2592312953494 44.99616236937068, -107.8943742968723 44.99977336937405, -108.6252562975529 44.99759336937201, -109.7993852986464 44.99952236937381, -110.4296492992334 44.99228536936708, -111.0534282998144 44.99569536937025, -111.0515602998126 44.47332336888375, -111.1289182998847 44.50075736890931, -111.3192213000619 44.72786436912081, -111.4808043002124 44.69141636908687, -111.5672313002929 44.55286636895784, -111.6848623004024 44.55075236895587, -111.807837300517 44.5039823689123, -111.8725023005772 44.556265368961, -112.099897300789 44.51823136892558, -112.2303983009105 44.559491368964, -112.3425073010149 44.52510036893197, -112.3675833010383 44.44927036886135, -112.6531893013042 44.48080236889072, -112.7798633014222 44.47392236888431, -112.8266913014658 44.4210843688351, -112.9382813015698 44.40719236882217, -113.0830373017046 44.5826813689856, -113.0542893016778 44.62428936902435, -113.138274301756 44.76143936915209, -113.2403383018511 44.81184136919902, -113.318680301924 44.78022836916958, -113.4455733020422 44.85123936923571, -113.4554353020514 45.04334936941463, -113.5206093021121 45.08206336945069, -113.7390803023156 45.32153036967371, -113.8037543023758 45.5837293699179, -114.0094723025674 45.68633237001346, -114.1320483026815 45.55038236988685, -114.2419983027839 45.53529036987278, -114.3264343028626 45.45742436980027, -114.5273923030497 45.55819336989411, -114.5646783030845 45.62427136995566, -114.4975613030219 45.69440137002097, -114.5635423030834 45.7623983700843, -114.4991643030234 45.84268337015907, -114.3928383029244 45.87088637018533, -114.4124473029427 45.97197337027948, -114.4844553030098 45.98980637029609, -114.4317953029607 46.28471137057074, -114.3501153028846 46.51738937078744, -114.3346853028703 46.65422737091488, -114.48471830301 46.62357437088633, -114.6108263031274 46.62904837089143, -114.6738873031862 46.73472137098985, -114.9023253033989 46.79943337105011, -114.9241253034192 46.90716537115044, -115.0556383035417 46.97335837121209, -115.1930733036697 47.12402637135241, -115.2962343037658 47.17955037140412, -115.3252283037928 47.24515037146522, -115.5019303039574 47.28164437149921, -115.5995363040482 47.3700033715815, -115.7015223041432 47.52089337172203, -115.7336653041732 47.69555437188469, -116.053492304471 47.97619137214605, -116.0635313044804 48.9999503730995))
11	ME	Maine	POLYGON ((-70.81866826234281 43.12187136762512, -70.81320726233773 43.23522236773069, -70.96969926248347 43.36638036785283, -70.97387426248736 43.57183036804418, -71.02872626253844 44.66853836906556, -71.08750926259319 45.30146936965502, -70.95938226247385 45.33886536968986, -70.87644426239662 45.22544536958422, -70.7969672623226 45.42517236977023, -70.63492926217168 45.39196736973931, -70.71991026225084 45.51295436985198, -70.55227026209471 45.66066436998955, -70.39638326194952 45.72204637004671, -70.41621426196799 45.79030937011029, -70.25396426181689 45.89900437021152, -70.31029526186934 45.96878237027651, -70.22932526179395 46.13743437043358, -70.28349626184439 46.19024937048276, -70.1910582617583 46.33483937061742, -70.04660726162378 46.42611537070243, -69.98497726156637 46.69136537094947, -69.23029626086353 47.4533343716591, -69.04697626069279 47.42203037162995, -69.03671426068324 47.25736137147659, -68.89487226055114 47.18225637140665, -68.51467326019704 47.29696437151348, -68.3912572600821 47.28509737150242, -68.33481426002953 47.35737437156973, -68.23080725993268 47.35214837156487, -67.79101125952309 47.06100337129372, -67.7802892595131 45.94706237025628, -67.80343325953466 45.6781133700058, -67.71803425945512 45.68129937000877, -67.61514025935929 45.60519936993789, -67.43930125919553 45.59256136992612, -67.4160842591739 45.50355436984323, -67.50410625925588 45.48581636982671, -67.4185552591762 45.3758523697243, -67.47795025923152 45.28028036963529, -67.43943525919565 45.18958436955082, -67.34560525910827 45.12225236948812, -67.27409525904167 45.18278336954449, -67.16590525894091 45.15626436951979, -67.06535825884727 44.95929536933635, -67.14670625892303 44.9045813692854, -66.96927125875777 44.82865536921469, -67.200364258973 44.65378136905181, -67.38851025914822 44.69140036908685, -67.57099325931817 44.59833336900017, -67.61883825936273 44.54023936894608, -67.8112192595419 44.5540093689589, -67.90004225962463 44.45239936886426, -67.98652325970517 44.48481236889445, -68.07437925978699 44.38137436879812, -68.13626425984462 44.47523736888554, -68.24561425994646 44.49064836889988, -68.3637652600565 44.4313863688447, -68.42857126011685 44.46530636887628, -68.55218626023198 44.39904936881458, -68.55942726023872 44.25988736868497, -68.74031026040719 44.34633036876548, -68.81285126047474 44.32743236874788, -68.81167826047366 44.49459336890357, -68.95917926061102 44.43033136884371, -68.9850282606351 44.27111236869543, -69.02148226066905 44.24409336867026, -69.07445826071839 44.06906636850726, -69.21914026085314 43.94678736839337, -69.29365026092252 43.94219036838909, -69.39448826101643 44.02512836846634, -69.48323326109909 43.88716036833785, -69.5893262611979 43.84486236829845, -69.74852826134617 43.89337536834363, -69.80001326139411 44.02686636846796, -69.85992826144991 44.00000136844294, -69.79152826138621 43.75608536821577, -70.02640326160496 43.84560136829914, -70.15662826172624 43.78981036824718, -70.23579826179997 43.68579636815031, -70.22223926178734 43.57724036804921, -70.34161026189851 43.53490836800978, -70.36592526192116 43.43030336791237, -70.45697726200596 43.34947036783709, -70.53894126208229 43.33571836782427, -70.66567226220032 43.09105036759641, -70.81866826234281 43.12187136762512))
12	ME	Maine	POLYGON ((-68.387921260079 44.37725336879429, -68.35544926004876 44.42885736884234, -68.23870925994004 44.43756336885045, -68.16476925987118 44.33449536875446, -68.40289026009295 44.27080136869514, -68.387921260079 44.37725336879429))
13	ND	North Dakota	POLYGON ((-104.0489062932909 45.9429933702525, -104.0474372932895 46.64294737090437, -104.0459262932881 47.33383237154781, -104.0484252932904 48.0000813721683, -104.0523172932941 48.6458243727697, -104.062991293304 49.00002637309957, -102.9379592922562 49.00002637309957, -101.5004372909174 49.00002037309957, -100.1879082896951 49.00000237309955, -99.0004032885891 49.00000637309955, -97.93786728759953 48.99999237309955, -97.22943628693976 48.99998737309954, -97.1804222868941 48.81553737292775, -97.09716928681657 48.67452937279643, -97.16794328688249 48.56226337269187, -97.13459428685142 48.51731437265001, -97.13727528685392 48.19506337234989, -97.04805328677082 47.95492437212624, -96.85221728658844 47.60115137179677, -96.86668428660191 47.46153737166674, -96.83982728657691 47.38411737159464, -96.83916428657629 47.15188637137836, -96.81677228655543 46.96977937120876, -96.75691128649969 46.92278037116499, -96.7971972865372 46.81203337106184, -96.79024628653073 46.6297733708921, -96.74031628648423 46.4894323707614, -96.60207428635547 46.33632437061881, -96.55193128630877 46.09552937039455, -96.56692128632274 45.93411037024421, -97.97872228763758 45.93082237024116, -99.00683328859509 45.93955537024929, -100.5144062899991 45.94038837025006, -102.0027752913853 45.94250537025204, -102.9948232923092 45.94111537025074, -104.0489062932909 45.9429933702525))
14	SD	South Dakota	POLYGON ((-104.0561992932977 43.00306236751447, -104.0591572933004 43.47913436795784, -104.0610362933022 44.18182536861227, -104.0598422933011 44.99733636937178, -104.0430722932855 44.99780536937222, -104.0489062932909 45.9429933702525, -102.9948232923092 45.94111537025074, -102.0027752913853 45.94250537025204, -100.5144062899991 45.94038837025006, -99.00683328859509 45.93955537024929, -97.97872228763758 45.93082237024116, -96.56692128632274 45.93411037024421, -96.58795528634232 45.81785437013595, -96.65739128640699 45.73897037006248, -96.83279628657036 45.65068736998026, -96.84308728657994 45.58409036991824, -96.69316928644032 45.4106383697567, -96.53254928629073 45.37513236972363, -96.45449628621803 45.27519536963055, -96.45510628621861 44.53834336894431, -96.46045428622358 43.49971836797701, -96.59831528635198 43.49984936797713, -96.52505328628375 43.38422536786945, -96.558605286315 43.22548936772162, -96.47311428623537 43.20908236770634, -96.46209428622511 43.075582367582, -96.64070928639146 42.74860336727748, -96.54116528629875 42.66240536719721, -96.43939428620396 42.48924036703593, -96.60546728635863 42.50723636705269, -96.71405928645977 42.61230236715054, -96.72265828646778 42.66859236720296, -96.97000328669815 42.75206536728071, -97.13046928684759 42.77392336730107, -97.2244432869351 42.84120236736372, -97.38930628708864 42.86743336738815, -97.8186432874885 42.86658736738737, -97.96355828762346 42.77369036730084, -98.03314028768826 42.76919236729665, -98.14486928779232 42.83579436735869, -98.45744428808342 42.93716036745309, -98.49765128812088 42.99177836750395, -99.25397128882526 42.99238936750453, -100.1981422897046 42.99109536750332, -101.2317372906672 42.98684336749936, -102.0867012914634 42.98988736750219, -103.501464292781 42.99861836751033, -104.0561992932977 43.00306236751447))
15	WY	Wyoming	POLYGON ((-104.0517052932935 41.00321136565196, -104.9344932941157 40.99428936564365, -106.2034712952975 41.00008536564905, -106.865438295914 40.99845736564753, -107.9186712968949 41.00337536565211, -109.0483142979469 40.99843336564751, -110.0021652988353 40.99759936564674, -111.0510222998121 40.99658336564579, -111.0486972998099 41.99620336657675, -111.0492152998104 43.01988336753013, -111.0467712998082 43.51552836799174, -111.0515602998126 44.47332336888375, -111.0534282998144 44.99569536937025, -110.4296492992334 44.99228536936708, -109.7993852986464 44.99952236937381, -108.6252562975529 44.99759336937201, -107.8943742968723 44.99977336937405, -106.2592312953494 44.99616236937068, -105.0850032942558 44.99981736937409, -104.0598422933011 44.99733636937178, -104.0610362933022 44.18182536861227, -104.0591572933004 43.47913436795784, -104.0561992932977 43.00306236751447, -104.0535132932952 41.99981536658012, -104.0517052932935 41.00321136565196))
16	WI	Wisconsin	POLYGON ((-87.79738227815547 42.48915236703585, -88.93918727921886 42.49087936703746, -89.92369128013574 42.50411536704979, -90.63845628080142 42.50936336705468, -90.69479128085389 42.63792836717441, -90.91940928106308 42.68067736721422, -91.06616828119977 42.74491336727404, -91.13912128126771 42.9258933674426, -91.16135428128841 43.14757636764905, -91.06905228120245 43.2578983677518, -91.07849828121125 43.31329736780339, -91.19824328132278 43.37051336785668, -91.22356628134635 43.50080836797802, -91.25838928137878 43.67732236814242, -91.25110528137201 43.78807536824557, -91.37335728148585 43.94719136839375, -91.52842028163028 44.0342153684748, -91.60178628169859 44.04082236848096, -91.84874428192859 44.19118736862099, -91.97238628204374 44.36448736878239, -92.20613728226144 44.43839436885122, -92.34087228238693 44.5528353689578, -92.50921528254371 44.5751593689786, -92.80558428281972 44.74616036913785, -92.74976828276773 44.93565536931433, -92.7967622828115 45.06561036943536, -92.74542228276368 45.1130043694795, -92.74659328276478 45.29760336965143, -92.64875128267366 45.39546636974256, -92.72815428274761 45.54724236988392, -92.87683128288607 45.57883636991335, -92.86001928287041 45.71056237003602, -92.77910728279507 45.76334037008517, -92.66620828268992 45.91570337022708, -92.36496328240936 46.01624837032071, -92.28937028233897 46.07323137037378, -92.287271282337 46.65878637091912, -92.20915428226425 46.64687237090803, -92.09597028215885 46.74262737099721, -91.92146128199632 46.680134370939, -91.55577328165575 46.75686037101046, -90.86173028100937 46.95247937119265, -90.77744528093086 46.88312237112805, -90.92624428106944 46.58550337085087, -90.73071428088734 46.64569637090693, -90.40820028058698 46.56861037083515, -90.21152628040382 46.50629537077711, -90.1116592803108 46.34042937062263, -89.09980627936845 46.14564237044122, -88.80439727909332 46.02680437033055, -88.49408327880433 46.01296037031766, -88.18019427851199 45.95351637026229, -87.99007027833493 45.7950463701147, -87.80155327815935 45.71139137003679, -87.78938527814802 45.49906736983905, -87.86026727821404 45.44509836978879, -87.86209627821575 45.370165369719, -87.64536227801389 45.34816936969852, -87.73620027809849 45.19907236955966, -87.67281427803945 45.14067236950527, -87.62033527799058 44.99199736936681, -87.83999227819516 44.92732336930658, -87.8310202781868 44.8733463692563, -87.98579127833094 44.72047436911393, -88.04041727838181 44.57144936897514, -87.92640827827563 44.53913936894504, -87.86878227822197 44.61690636901747, -87.7642262781246 44.64404836904275, -87.61446427798511 44.83304736921878, -87.55167227792663 44.82302336920944, -87.43374727781681 44.89109636927283, -87.31446527770572 44.79471836918307, -87.47352827785386 44.53394636894021, -87.53748927791342 44.32785136874827, -87.51732227789465 44.17575436860662, -87.64437027801297 44.09783036853405, -87.72612227808911 43.89390436834412, -87.70273027806732 43.67317636813856, -87.78604527814491 43.54629736802039, -87.80295927816066 43.45871436793883, -87.87533227822807 43.35859236784557, -87.88983427824157 43.19721636769529, -87.81984927817639 42.84156336736406, -87.75680327811767 42.77754636730444, -87.79150927815 42.66664236720115, -87.79738227815547 42.48915236703585))
17	WI	Wisconsin	POLYGON ((-87.034524277445 45.29040536964472, -87.02544827743655 45.14997436951393, -87.17869227757927 44.98280636935824, -87.20565027760438 44.8732393692562, -87.31112327770261 44.79877336918685, -87.40541927779043 44.91120036929156, -87.28348427767686 45.05261936942327, -87.034524277445 45.29040536964472))
18	ID	Idaho	POLYGON ((-116.9191323052772 45.99517537030108, -116.9616373053168 46.09727437039618, -116.9294263052868 46.1654833704597, -117.0279733053786 46.33542737061797, -117.0419263053916 46.53660137080533, -117.0417943053915 47.36144137157352, -117.0388683053887 48.04618637221124, -117.0320493053824 48.99993137309949, -116.0635313044804 48.9999503730995, -116.053492304471 47.97619137214605, -115.7336653041732 47.69555437188469, -115.7015223041432 47.52089337172203, -115.5995363040482 47.3700033715815, -115.5019303039574 47.28164437149921, -115.3252283037928 47.24515037146522, -115.2962343037658 47.17955037140412, -115.1930733036697 47.12402637135241, -115.0556383035417 46.97335837121209, -114.9241253034192 46.90716537115044, -114.9023253033989 46.79943337105011, -114.6738873031862 46.73472137098985, -114.6108263031274 46.62904837089143, -114.48471830301 46.62357437088633, -114.3346853028703 46.65422737091488, -114.3501153028846 46.51738937078744, -114.4317953029607 46.28471137057074, -114.4844553030098 45.98980637029609, -114.4124473029427 45.97197337027948, -114.3928383029244 45.87088637018533, -114.4991643030234 45.84268337015907, -114.5635423030834 45.7623983700843, -114.4975613030219 45.69440137002097, -114.5646783030845 45.62427136995566, -114.5273923030497 45.55819336989411, -114.3264343028626 45.45742436980027, -114.2419983027839 45.53529036987278, -114.1320483026815 45.55038236988685, -114.0094723025674 45.68633237001346, -113.8037543023758 45.5837293699179, -113.7390803023156 45.32153036967371, -113.5206093021121 45.08206336945069, -113.4554353020514 45.04334936941463, -113.4455733020422 44.85123936923571, -113.318680301924 44.78022836916958, -113.2403383018511 44.81184136919902, -113.138274301756 44.76143936915209, -113.0542893016778 44.62428936902435, -113.0830373017046 44.5826813689856, -112.9382813015698 44.40719236882217, -112.8266913014658 44.4210843688351, -112.7798633014222 44.47392236888431, -112.6531893013042 44.48080236889072, -112.3675833010383 44.44927036886135, -112.3425073010149 44.52510036893197, -112.2303983009105 44.559491368964, -112.099897300789 44.51823136892558, -111.8725023005772 44.556265368961, -111.807837300517 44.5039823689123, -111.6848623004024 44.55075236895587, -111.5672313002929 44.55286636895784, -111.4808043002124 44.69141636908687, -111.3192213000619 44.72786436912081, -111.1289182998847 44.50075736890931, -111.0515602998126 44.47332336888375, -111.0467712998082 43.51552836799174, -111.0492152998104 43.01988336753013, -111.0486972998099 41.99620336657675, -112.1005143007895 42.00230036658243, -112.9895753016175 42.00114636658136, -114.039072302595 41.995391366576, -115.024863303513 41.99650636657704, -115.9475443043723 41.99459936657526, -117.0188643053701 41.99479436657545, -117.026295305377 43.67903136814401, -117.0371173053871 43.8001423682568, -116.9857703053393 43.85935136831195, -116.9335933052907 44.01420236845617, -116.9768173053309 44.07389436851176, -116.9022543052615 44.1463133685792, -117.1126923054575 44.26980536869421, -117.2135723055514 44.2847193687081, -117.2244103055615 44.47298736888344, -117.1451603054877 44.53465536894088, -117.0395723053894 44.7491153691406, -116.9514943053074 44.77603536916568, -116.8353963051992 44.92014436929989, -116.854513305217 45.01694536939004, -116.7365853051072 45.13730736950214, -116.6722653050473 45.33541036968664, -116.4785513048669 45.56605836990144, -116.4704183048593 45.60625736993888, -116.5606323049433 45.74742437007035, -116.7031803050761 45.81916937013718, -116.7737073051418 45.81976337013772, -116.9191323052772 45.99517537030108))
19	VT	Vermont	POLYGON ((-73.25806026461467 42.74605836727511, -73.29616926465016 42.80354936732866, -73.27600526463138 42.94029436745601, -73.23839126459635 43.51283236798923, -73.30353426465702 43.62471436809342, -73.42296026476825 43.63211436810032, -73.37098926471984 43.71428136817684, -73.37512126472369 43.88597736833674, -73.43600026478039 44.04567936848548, -73.37733226472575 44.20124736863036, -73.30532526465869 44.26014236868521, -73.32978826468147 44.3673903687851, -73.29331926464751 44.43285336884606, -73.38182526472994 44.61980736902018, -73.32678626467867 44.79929336918734, -73.38230626473039 44.84793336923264, -73.34472326469538 45.00613836937998, -72.54723126395265 45.00537036937926, -71.90186826335162 45.0073403693811, -71.50537226298235 45.0133513693867, -71.50636526298328 44.89967136928082, -71.63113326309947 44.74171036913371, -71.53679126301161 44.57893136898211, -71.67688426314209 44.42134236883534, -71.83481626328917 44.3441993687635, -71.99443326343783 44.32754836874799, -72.05956626349848 44.26149436868647, -72.03472826347536 44.08337436852058, -72.17008926360141 43.87891736833016, -72.21912326364708 43.75069236821075, -72.30404026372617 43.69853036816217, -72.37349826379085 43.57237436804468, -72.41213926382685 43.37712536786284, -72.40241926381779 43.30738236779789, -72.45239826386434 43.15602236765692, -72.45715926386878 42.99960336751124, -72.52021726392751 42.9516723674666, -72.53891726394491 42.80773336733255, -72.45577026386748 42.72585236725629, -73.25806026461467 42.74605836727511))
